Stock,Market value,assets value*T,value of debt*T,year,,,
AFC,410168394,1408353.96,199947.44,2017,,,
B52,1153692000,992625.61,566742.01,2017,,,
BTNC,276000000,808462.69,353649.35,2017,,,
CPH,250000000,1472357.63,677002.92,2017,,,
CPL,1508037732,2066865.24,991851.8,2017,,,
ICC,11407373903,23280158,3369513,2017,,,
NC,254167000,721993.45,281042.36,2017,,,
PAF,826200000,722533.8,289678.75,2017,,,
PDJ,1736402960,4216595.6,2187533.87,2017,,,
PG,715200000,1778103.12,240422.58,2017,,,
SABINA,8201000000,2387249.2,491886.5,2017,,,
SAWANG,345600000,532076.56,75293.67,2017,,,
SUC,13050000000,25540847.04,3830898.69,2017,,,
TNL,2640000000,4373129.7,614156.81,2017,,,
TPCORP,2008800000,2763766.75,360212.94,2017,,,
TR,11088000000,23550326.84,2170954.63,2017,,,
TTI,1450000000,4184304.24,2595098.88,2017,,,
UPF,603750000,480156,106939,2017,,,
UT,621000000,1010206,97276,2017,,,
WACOAL *,5610000000,7068165.21,1303030.03,2017,,,
ACC,624000000,1633961.16,880071.03,2017,,,
AJA,2289759162,1460225.13,201315.77,2017,,,
DTCI,300000000,398965.62,46634.92,2017,,,
FANCY,1063950000,1423142.09,173484.79,2017,,,
KYE,10340000000,8297028,1964416,2017,,,
L&E,1476120222,2849655,1675490,2017,,,
MODERN,4275000000,3893560,1334953,2017,,,
OGC,917220745,3052530,1169688,2017,,,
ROCK,352000000,702358.9,281093.59,2017,,,
SIAM,1399777004,3436582,723022,2017,,,
TSR,1911902591,1481308.23,359944.23,2017,,,
APCO,3600000000,678779.78,50468.38,2017,,,
DDD,27966000000,5460487,673999,2017,,,
JCT,1177875000,1279108.15,151309.17,2017,,,
OCC,960000000,1279724.75,388863.4,2017,,,
S & J,3298478216,5054326.98,1230090.97,2017,,,
TNR,5400000000,1261632.87,251286.22,2017,,,
TOG,3770828100,2637489.5,789259.36,2017,,,
AFC,414725820.6,1411149.46,193947.18,2018,,,
B52,331884000,212998.04,43237.66,2018,,,
BTNC,229200000,728986.89,462795.51,2018,,,
CPH,252000000,1566051.26,777426.96,2018,,,
CPL,1319532852,2818612.74,1734045,2018,,,
